Date,SPY,QQQ,TLT
2010-04-22,90.6894760131836,43.66578674316406,56.472618103027344
2010-04-23,91.28147888183594,43.84804916381836,56.272796630859375
2010-04-26,90.93680572509766,43.752586364746094,56.33522415161133
2010-04-27,88.78606414794922,42.82389831542969,57.12834930419922
2010-04-28,89.46047973632812,42.84992980957031,56.641265869140625
2010-04-29,90.56956481933594,43.596351623535156,56.878570556640625
2010-04-30,89.03335571289062,42.73708724975586,57.534278869628906
2010-05-03,90.18738555908203,43.33596420288086,57.45906066894531
2010-05-04,88.06668853759766,42.0340690612793,58.49309539794922
2010-05-05,87.54209899902344,41.81708526611328,58.83776092529297
2010-05-06,84.63450622558594,40.41969299316406,60.655052185058594
2010-05-07,83.3755874633789,39.41292190551758,59.89678192138672
2010-05-10,87.04750061035156,41.46125030517578,58.655967712402344
2010-05-11,86.80020904541016,41.417823791503906,58.505645751953125
2010-05-12,88.01421356201172,42.19896697998047,58.060691833496094
2010-05-13,86.92012023925781,41.530670166015625,58.44294357299805
2010-05-14,85.34644317626953,40.732177734375,59.458126068115234
2010-05-17,85.39136505126953,40.862361907958984,59.23884582519531
2010-05-18,84.22986602783203,40.298194885253906,60.147464752197266
2010-05-19,83.7502670288086,39.97706985473633,60.347984313964844
2010-05-20,80.58788299560547,38.49290466308594,61.62019348144531
2010-05-21,81.76439666748047,38.91819763183594,61.68281555175781
2010-05-24,80.71527862548828,38.76194381713867,61.46973419189453
2010-05-25,80.79771423339844,38.79667282104492,61.77058792114258
2010-05-26,80.31063079833984,38.36271286010742,61.59507369995117
2010-05-27,83.00089263916016,39.81214141845703,60.19766616821289
2010-05-28,81.95925903320312,39.57780838012695,60.47333908081055
2010-06-01,80.58040618896484,39.21327590942383,60.898406982421875
2010-06-02,82.67865753173828,40.141971588134766,60.31990051269531
2010-06-03,82.96340942382812,40.523860931396484,59.87978744506836
2010-06-04,80.04833984375,39.135162353515625,61.48945617675781
2010-06-07,79.0516586303711,38.423465728759766,61.961082458496094
2010-06-08,79.8984603881836,38.35403823852539,61.652931213378906
2010-06-09,79.47129821777344,38.03288269042969,61.58378601074219
2010-06-10,81.7944107055664,39.117801666259766,60.4833869934082
2010-06-11,82.19155883789062,39.491031646728516,61.25052261352539
2010-06-14,82.0641860961914,39.48234176635742,60.93611526489258
2010-06-15,83.93013763427734,40.541229248046875,60.68460464477539
2010-06-16,83.90013122558594,40.70612335205078,61.03045654296875
2010-06-17,84.03499603271484,40.8363151550293,61.52720260620117
2010-06-18,84.12614440917969,40.8702278137207,61.42658615112305
2010-06-21,83.88519287109375,40.522396087646484,61.25052261352539
2010-06-22,82.49974822998047,40.2093505859375,61.97997283935547
2010-06-23,82.24373626708984,40.04412841796875,62.40122604370117
2010-06-24,80.88094329833984,39.435428619384766,62.03022384643555
2010-06-25,81.21978759765625,39.443267822265625,62.28174591064453
2010-06-28,80.96377563476562,39.303855895996094,62.866519927978516
2010-06-29,78.46400451660156,37.78780746459961,63.55187225341797
2010-06-30,77.71859741210938,37.2127799987793,63.979469299316406
2010-07-01,77.37223815917969,37.108219146728516,64.08041381835938
2010-07-02,76.95059204101562,37.003662109375,63.56947326660156
2010-07-06,77.45504760742188,37.116939544677734,64.0929946899414
2010-07-07,79.89462280273438,38.30188751220703,63.34245681762695
2010-07-08,80.6852035522461,38.5109977722168,62.93873977661133
2010-07-09,81.28752899169922,38.876922607421875,62.5793342590332
2010-07-12,81.34022521972656,38.990196228027344,62.55409240722656
2010-07-13,82.5675277709961,39.495548248291016,62.018009185791016
2010-07-14,82.56001281738281,39.695945739746094,62.64235305786133
2010-07-15,82.58259582519531,39.73079299926758,63.26676940917969
2010-07-16,80.30874633789062,38.63296127319336,63.57582473754883
2010-07-19,80.78307342529297,38.96405792236328,63.184749603271484
2010-07-20,81.67904663085938,39.43456268310547,63.279380798339844
2010-07-21,80.617431640625,38.89435958862305,64.35159301757812
2010-07-22,82.41696166992188,39.878902435302734,63.60737609863281
2010-07-23,83.13227081298828,40.131591796875,62.932533264160156
2010-07-26,83.99815368652344,40.462677001953125,62.82529067993164
2010-07-27,83.9906005859375,40.445255279541016,62.21978759765625
2010-07-28,83.44847106933594,40.12287139892578,62.421592712402344
2010-07-29,83.04188537597656,39.826637268066406,62.40267562866211
2010-07-30,83.02680206298828,39.91376495361328,63.374027252197266
2010-08-02,84.90166473388672,40.66307830810547,62.48434066772461
2010-08-03,84.49506378173828,40.48882293701172,62.845054626464844
2010-08-04,85.05979919433594,40.89832305908203,62.364112854003906
2010-08-05,84.96945190429688,40.80248260498047,62.65518569946289
2010-08-06,84.62303924560547,40.741477966308594,63.33857727050781
2010-08-09,85.07481384277344,41.02030563354492,63.1044807434082
2010-08-10,84.61554718017578,40.66307830810547,63.237335205078125
2010-08-11,82.2964859008789,39.55653381347656,64.0851821899414
2010-08-12,81.79200744628906,39.24288558959961,63.92700958251953
2010-08-13,81.5510482788086,38.96405792236328,64.72429656982422
2010-08-16,81.5134048461914,39.03376770019531,66.34416961669922
2010-08-17,82.51481628417969,39.530391693115234,65.96446990966797
2010-08-18,82.66542053222656,39.687225341796875,66.14167022705078
2010-08-19,81.2273178100586,39.0860481262207,67.17302703857422
2010-08-20,80.96377563476562,39.13831329345703,67.09711456298828
2010-08-23,80.65506744384766,38.75495147705078,67.1097640991211
2010-08-24,79.45790100097656,38.03178405761719,68.18543243408203
2010-08-25,79.76660919189453,38.39773178100586,67.9640121459961
2010-08-26,79.23199462890625,37.93592834472656,68.60308074951172
2010-08-27,80.45928192138672,38.39773178100586,66.66050720214844
2010-08-30,79.29224395751953,37.996925354003906,67.9386978149414
2010-08-31,79.29224395751953,37.86622619628906,68.69163513183594
2010-09-01,81.66400909423828,38.9989013671875,67.27134704589844
2010-09-02,82.42449188232422,39.43456268310547,66.5605239868164
2010-09-03,83.49365997314453,40.0880241394043,65.73550415039062
2010-09-07,82.55247497558594,39.81792449951172,67.08094787597656
2010-09-08,83.13227081298828,40.2971305847168,66.54779815673828
2010-09-09,83.51625061035156,40.45395278930664,65.23419952392578
2010-09-10,83.93788146972656,40.60207748413086,64.93590545654297
2010-09-13,84.87155151367188,41.168426513671875,65.25321197509766
2010-09-14,84.81885528564453,41.34266662597656,65.88143157958984
2010-09-15,85.14259338378906,41.60406494140625,64.90414428710938
2010-09-16,85.1199951171875,41.76961135864258,64.26316833496094
2010-09-17,85.15182495117188,41.911094665527344,64.52336883544922
2010-09-20,86.45382690429688,42.64468765258789,64.8978500366211
2010-09-21,86.27970886230469,42.63595199584961,65.79900360107422
2010-09-22,85.85578918457031,42.522422790527344,66.38921356201172
2010-09-23,85.15937805175781,42.50496292114258,66.5796127319336
2010-09-24,86.91554260253906,43.36954116821289,65.68476867675781
2010-09-27,86.49920654296875,43.133750915527344,66.82708740234375
2010-09-28,86.802001953125,43.11629104614258,67.28404998779297
2010-09-29,86.65059661865234,43.04642868041992,67.00476837158203
2010-09-30,86.39321899414062,42.854286193847656,66.96038818359375
2010-10-01,86.75659942626953,42.801856994628906,66.63680267333984
2010-10-04,86.1055908203125,42.339019775390625,66.80875396728516
2010-10-05,87.83907318115234,43.36954116821289,66.407470703125
2010-10-06,87.83151245117188,42.994014739990234,67.241943359375
2010-10-07,87.72550201416016,43.15120315551758,66.68134307861328
2010-10-08,88.217529296875,43.44815444946289,66.38835906982422
2010-10-11,88.3008041381836,43.46561050415039,66.40106964111328
2010-10-12,88.57329559326172,43.762550354003906,65.74496459960938
2010-10-13,89.26209259033203,44.1206169128418,65.64303588867188
2010-10-14,88.9139633178711,44.03328323364258,64.66202545166016
2010-10-15,89.0956039428711,44.96775817871094,63.8722038269043
2010-10-18,89.53468322753906,44.80181121826172,64.38813781738281
2010-10-19,88.36138153076172,44.38262176513672,64.77669525146484
2010-10-20,89.22430419921875,44.70573806762695,64.91685485839844
2010-10-21,89.42115020751953,44.79306411743164,64.1460952758789
2010-10-22,89.58766174316406,45.0987434387207,64.57926940917969
2010-10-25,89.85259246826172,45.31707000732422,64.76399230957031
2010-10-26,89.86775970458984,45.43932342529297,63.76388931274414
2010-10-27,89.6103515625,45.57906723022461,63.203330993652344
2010-10-28,89.6255111694336,45.675140380859375,63.37531661987305
2010-10-29,89.69363403320312,45.57033157348633,63.96776580810547
2010-11-01,89.72395324707031,45.60527038574219,63.692359924316406
2010-11-02,90.43547821044922,46.094337463378906,64.52949523925781
2010-11-03,90.79883575439453,46.30394744873047,63.21303939819336
2010-11-04,92.54741668701172,46.871604919433594,63.705074310302734
2010-11-05,92.89564514160156,46.871604919433594,62.612300872802734
2010-11-08,92.72151947021484,46.93274688720703,62.89350509643555
2010-11-09,92.05540466308594,46.679481506347656,61.50682830810547
2010-11-10,92.42630767822266,46.91526412963867,61.58987045288086
2010-11-11,92.078125,46.61834716796875,61.55793380737305
