SPY,QQQ,TLT
-1.56166698e-02,-1.85261574e-02,1.22850624e-02
-1.01586448e-02,-1.83927704e-02,7.65569872e-03
4.07034732e-02,4.36337084e-02,-3.87340246e-03
-2.50822079e-02,-2.50039834e-02,1.64331700e-02
1.83536324e-02,2.02311150e-02,2.47389594e-03
1.97906760e-02,3.39942587e-02,-1.95359797e-02
9.64834696e-04,5.59237728e-03,4.18947154e-03
-1.23118511e-02,-2.90413282e-03,-4.18947154e-03
-3.15782266e-03,-2.23969855e-02,-7.05513620e-03
-9.61097897e-03,-5.04581327e-03,9.67495147e-03
3.49191237e-03,5.27457381e-03,3.55154872e-03
3.45553470e-02,4.18829498e-02,-1.64088651e-02
6.58834128e-04,-2.19583330e-03,2.12670763e-03
2.48401653e-03,2.19583330e-03,2.22907303e-03
-1.09492300e-03,5.90503905e-03,9.07460128e-03
5.11346728e-04,-2.18298786e-03,-5.26515473e-03
-1.02279926e-03,-7.67810752e-03,-3.49105224e-03
-7.26240352e-03,-1.12944559e-02,1.03311399e-02
1.39806308e-03,1.41530521e-02,-3.36201584e-03
-1.95996586e-02,-2.80576075e-02,6.71235149e-03
-3.37972021e-03,-4.52706210e-03,-5.87012645e-03
2.32929390e-03,1.36017132e-03,-1.24855240e-02
2.67336179e-02,2.74847250e-02,-9.84201820e-03
1.46021297e-03,-2.20649255e-03,-1.72295647e-03
1.03799880e-02,3.13136710e-02,-8.61023836e-04
5.05246386e-04,7.04012000e-03,3.98069658e-03
-4.41216093e-03,-1.49929906e-02,3.42941224e-03
-1.59604079e-03,1.09455890e-02,-3.32273073e-03
4.34714697e-03,8.92460159e-03,-8.51696516e-03
9.21126178e-03,-2.54171537e-03,-5.86388573e-03
2.14828086e-04,1.90675105e-03,3.04528819e-03
-3.94686286e-03,7.59262480e-03,3.79293532e-03
-5.91353943e-03,-8.22724073e-03,7.11384357e-03
2.04751862e-02,3.10730927e-02,6.47271656e-05
2.75969773e-03,1.43601354e-03,-1.26906339e-02
-4.81694059e-03,-2.87427464e-03,0.00000000e+00
8.62562903e-03,6.14969738e-03,-7.23093972e-03
-1.79713280e-02,-1.83569232e-02,4.27891864e-03
